datetime,machineID,volt,rotate,pressure,vibration,errorID
2015-10-01 00:00:00,1,180.541240121778,448.68469036449994,92.2338573641925,38.0587232675069,none
2015-10-01 01:00:00,1,171.792550723127,507.637405697474,100.490753403796,41.7558872755149,none
2015-10-01 02:00:00,1,158.569260094306,390.788888708542,91.6910028082719,42.63577923965821,none
2015-10-01 03:00:00,1,171.918378459124,409.78878676673287,126.92133864016701,38.8204663415963,none
2015-10-01 04:00:00,1,152.972441519397,435.38667823488,83.1692331908639,28.9289870193053,none
2015-10-01 05:00:00,1,171.12909714846901,461.805596773282,99.96338729671369,27.9279329597232,none
2015-10-01 06:00:00,1,173.789931753448,415.864941158545,119.461288827519,50.192680830465704,none
2015-10-01 07:00:00,1,192.38645882386902,471.3391467520069,97.932088197025,43.9244576745959,none
2015-10-01 08:00:00,1,185.08223479534303,501.971832329103,111.181873383476,31.717973087820106,none
2015-10-01 09:00:00,1,174.49942285151505,547.47662390542,92.54956183753,33.6568035433885,none
2015-10-01 10:00:00,1,195.888381796472,472.050770124208,92.92192118250641,43.6617661366718,none
2015-10-01 11:00:00,1,163.212662259691,500.548701549407,110.764296258326,42.2648769810549,none
2015-10-01 12:00:00,1,168.633123706096,352.975448612926,106.727149822831,40.2864423904908,none
2015-10-01 13:00:00,1,157.931937711923,466.56655890363504,113.746886024185,45.27064287538239,none
2015-10-01 14:00:00,1,175.849509316054,458.347836578637,115.5151308583,32.6339109851153,none
2015-10-01 15:00:00,1,154.445316889075,450.671021414189,99.1004825229294,40.077255027328206,none
2015-10-01 16:00:00,1,176.44645940945,483.33864590363686,121.59616552690599,39.932021112052496,none
2015-10-01 17:00:00,1,164.09705036612,451.958418751623,120.709325789037,36.9204277078143,none
2015-10-01 18:00:00,1,172.20474916164505,584.431381296286,108.44800478458099,51.5945273259601,none
2015-10-01 19:00:00,1,136.712855296687,470.791204779887,96.5316649545435,45.286779405486705,none
2015-10-01 20:00:00,1,189.902057813792,453.707978657859,93.4339356563577,39.6516843489417,none
2015-10-01 21:00:00,1,158.825914062102,552.688701927081,110.436184342383,45.20322315424461,none
2015-10-01 22:00:00,1,161.305482872479,429.435535112698,92.9839088968487,31.189406681392196,none
2015-10-01 23:00:00,1,155.591481407274,430.0045259033631,133.374116392046,46.9048553502153,error1
2015-10-02 00:00:00,1,177.244923062841,436.86960556657095,95.66190205670591,44.4409017304025,none
2015-10-02 01:00:00,1,170.639360645229,461.844504257863,90.4602086053517,43.3208210022555,none
2015-10-02 02:00:00,1,157.11395701847,507.733802380286,100.528873416805,34.8540109591861,none
2015-10-02 03:00:00,1,166.62904546377501,411.13661756609594,109.60638710231899,42.1481745234373,none
2015-10-02 04:00:00,1,165.03277644948602,501.838416264139,104.480821951037,34.891686265701196,none
2015-10-02 05:00:00,1,185.647013353194,408.390241530612,118.54664232626001,32.2406858920953,none
2015-10-02 06:00:00,1,186.912221725015,405.754403396967,97.1551811941423,38.9546973772191,none
2015-10-02 07:00:00,1,182.936900945957,435.04739980891,76.48501661986171,35.0707897734025,none
2015-10-02 08:00:00,1,175.634547801931,438.541397571442,100.315506538029,44.4352927949276,none
2015-10-02 09:00:00,1,164.169929062141,483.83044559868796,101.63579945204599,29.30806492352789,none
2015-10-02 10:00:00,1,139.77900083084,462.601647913749,102.72833073465799,34.09046810094649,none
2015-10-02 11:00:00,1,166.35074081332502,486.4023913766829,100.418100049063,38.097691253920004,none
2015-10-02 12:00:00,1,169.97573465078997,431.03142532418,94.63181691336719,45.9353712317033,none
2015-10-02 13:00:00,1,181.049220116996,452.2819779126329,96.0338409106369,30.612801416739398,none
2015-10-02 14:00:00,1,165.433530929636,465.153396055113,100.358946130938,44.00093201285539,none
2015-10-02 15:00:00,1,155.426086378344,426.98183079039705,102.78148524973801,39.8916640972078,none
2015-10-02 16:00:00,1,168.998913702958,445.55896840177695,107.53437845757799,39.974073457349796,none
2015-10-02 17:00:00,1,169.546275686658,411.28973663484703,111.61653627785401,37.8647175318942,none
2015-10-02 18:00:00,1,166.873130376006,464.591017724968,100.441310818749,38.2084520934504,none
2015-10-02 19:00:00,1,190.48367084368198,443.247132844896,129.934185276803,41.3346256468705,none
2015-10-02 20:00:00,1,153.731893841291,464.672128387141,103.683722665915,37.227359540711,none
2015-10-02 21:00:00,1,157.25649574264298,414.82709662095704,77.6234476814996,30.2006251648788,none
2015-10-02 22:00:00,1,175.701081942117,401.8814522660569,87.6092058680371,39.521510677847,none
2015-10-02 23:00:00,1,172.492287161272,481.37476617868,92.52302102131279,38.9844673723537,none
2015-10-03 00:00:00,1,145.791380200522,474.130068169363,105.559167154066,43.95604548529001,none
2015-10-03 01:00:00,1,145.20653884776002,418.953751998114,95.46755392134891,36.721555207786295,none
