machineID,datetime,voltmean_24h,rotatemean_24h,pressuremean_24h,vibrationmean_24h,voltsd_24h,rotatesd_24h,pressuresd_24h,vibrationsd_24h,error1count,error2count,error3count,error4count,error5count,comp1,comp2,comp3,comp4,model,age,failure
75,2015-10-01 0:00,166.88323540000005,442.9469853,100.1509416,39.06116099,17.78544993,49.32537996,11.42316399,5.299185928,0,0,0,0,0,56.75,41.75,86.75,11.75,3,19,none
75,2015-10-01 1:00,167.0960425,446.1448298,100.1744062,39.38801525,17.89147747,51.75039615,11.43553586,5.101341013,0,0,0,0,0,56.79166667,41.79166667,86.79166667,11.79166667,3,19,none
75,2015-10-01 2:00,167.31112280000005,447.1507751,99.50985396,39.65124581,18.01304702,51.556391,12.29122559,4.837236287,0,0,0,0,0,56.83333333,41.83333333,86.83333333,11.83333333,3,19,none
75,2015-10-01 3:00,167.8382365,442.566774,99.00991699,39.04115170000001,17.86555219,53.10584369,12.27229811,5.032725214,0,0,0,0,0,56.875,41.875,86.875,11.875,3,19,none
75,2015-10-01 4:00,168.6569233,436.4883789,99.53706403,39.08762408,17.08980909,50.56648035,11.64664936,5.02892515,0,0,0,0,0,56.91666667,41.91666667,86.91666667,11.91666667,3,19,none
75,2015-10-01 5:00,167.38936919999998,437.4686945,99.26309476,39.03106342,16.30606102,51.35811001,12.08073892,4.986301771,0,0,0,0,0,56.95833333,41.95833333,86.95833333,11.95833333,3,19,none
75,2015-10-01 6:00,166.437426,439.03423889999993,99.33551616,39.24239284,15.6364704,51.23569817,12.0284863,5.246742081,0,0,0,0,0,57.0,42.0,87.0,12.0,3,19,none
75,2015-10-01 7:00,165.806073,436.4079293,98.6972728,39.19346031,15.98879942,51.17903229,11.50669942,5.199159111,0,0,0,0,0,57.04166667,42.04166667,87.04166667,12.04166667,3,19,none
75,2015-10-01 8:00,166.2707383,436.4444567,98.18699286,39.21913567,16.42069157,51.21227122,10.71423407,5.215597319,0,0,0,0,0,57.08333333,42.08333333,87.08333333,12.08333333,3,19,none
75,2015-10-01 9:00,166.0671925,432.7570808,98.22776095,39.45148402,16.64456056,47.48214654,10.68066867,5.220212022,0,0,0,0,0,57.125,42.125,87.125,12.125,3,19,none
75,2015-10-01 10:00,166.3140158,431.62706,97.97624307,39.48827602,16.89663451,45.60229618,10.70200742,5.203660758,0,0,0,0,0,57.16666667,42.16666667,87.16666667,12.16666667,3,19,none
75,2015-10-01 11:00,167.1312116,433.7529355,97.58378616,39.34826656,16.52323319,49.11558389,10.48920167,4.852731385,0,0,0,0,0,57.20833333,42.20833333,87.20833333,12.20833333,3,19,none
75,2015-10-01 12:00,168.391422,431.7632506,96.9437277,39.65509046,16.72671144,49.76049097,10.70798059,4.840963352,0,0,0,0,0,57.25,42.25,87.25,12.25,3,19,none
75,2015-10-01 13:00,169.0667113,430.6832761,96.84669538,39.49048216,15.43702303,50.23159129,10.710321400000002,4.776158348,0,0,0,0,0,57.29166667,42.29166667,87.29166667,12.29166667,3,19,none
75,2015-10-01 14:00,168.03339640000004,434.109967,96.04990992,39.41255482,16.61468036,48.09242979,10.38746707,4.820177714,0,0,0,0,0,57.33333333,42.33333333,87.33333333,12.33333333,3,19,none
75,2015-10-01 15:00,169.4040168,434.0488552,95.11074291,39.25702163,17.58819789,48.04266182,10.71725171,4.778654359,0,0,0,0,0,57.375,42.375,87.375,12.375,3,19,none
75,2015-10-01 16:00,168.6723675,438.3098586,94.61129306,39.71083574,16.932636499999994,48.52075176,10.15539718,4.498842729,0,0,0,0,0,57.41666667,42.41666667,87.41666667,12.41666667,3,19,none
75,2015-10-01 17:00,167.6987344,442.07278330000014,94.67481616,39.89334996,17.01042948,50.36995486,10.22138455,4.390885739,0,0,0,0,0,57.45833333,42.45833333,87.45833333,12.45833333,3,19,none
75,2015-10-01 18:00,166.5996971,444.45630080000007,95.27497535,39.90710775,16.03908448,49.94980335,10.29652459,4.405171719,0,0,0,0,0,57.5,42.5,87.5,12.5,3,19,none
75,2015-10-01 19:00,165.7590144,445.5010326,95.79568509,40.38414148,15.9629982,50.02555487,10.7746759,4.189969714,0,0,0,0,0,57.54166667,42.54166667,87.54166667,12.54166667,3,19,none
75,2015-10-01 20:00,166.0644729,448.4833779,96.16013744,40.52081647,15.9696509,48.78037469,11.14488022,4.1424697089999984,0,0,0,0,0,57.58333333,42.58333333,87.58333333,12.58333333,3,19,none
