datetime,machineID,failure
2015-01-05 6:00,1,comp4
2015-03-06 6:00,1,comp1
2015-04-20 6:00,1,comp2
2015-06-19 6:00,1,comp4
2015-09-02 6:00,1,comp4
2015-10-17 6:00,1,comp2
2015-12-16 6:00,1,comp4
2015-03-19 6:00,2,comp1
2015-04-18 6:00,2,comp2
2015-12-29 6:00,2,comp2
2015-01-07 6:00,3,comp2
2015-02-06 6:00,3,comp1
2015-07-21 6:00,3,comp2
2015-10-04 6:00,3,comp2
2015-12-03 6:00,3,comp2
2015-01-17 6:00,4,comp2
2015-02-16 6:00,4,comp1
2015-04-02 6:00,4,comp2
2015-07-16 6:00,4,comp2
2015-08-30 6:00,4,comp1
2015-10-14 6:00,4,comp2
2015-01-09 6:00,5,comp2
2015-02-23 6:00,5,comp1
2015-04-09 6:00,5,comp1
2015-06-23 6:00,5,comp2
2015-09-06 6:00,5,comp1
2015-10-06 6:00,5,comp2
2015-11-20 6:00,5,comp1
2015-01-24 6:00,7,comp2
2015-02-08 6:00,7,comp1
2015-04-24 6:00,7,comp1
2015-05-09 6:00,7,comp4
2015-05-24 6:00,7,comp2
2015-07-08 6:00,7,comp2
2015-09-21 6:00,7,comp4
2015-10-21 6:00,7,comp2
2015-12-20 6:00,7,comp1
2015-03-07 6:00,8,comp2
2015-03-22 6:00,8,comp4
2015-04-21 6:00,8,comp2
2015-08-04 6:00,8,comp4
2015-10-18 6:00,8,comp4
2015-03-04 6:00,9,comp1
2015-06-17 6:00,9,comp2
2015-07-02 6:00,9,comp1
2015-07-17 6:00,9,comp2
2015-08-31 6:00,9,comp2
2015-09-15 6:00,9,comp1
2015-10-15 6:00,9,comp2
2015-11-14 6:00,9,comp1
2015-12-14 6:00,9,comp2
2015-01-19 6:00,10,comp2
2015-04-04 6:00,10,comp2
2015-05-19 6:00,10,comp2
2015-06-03 6:00,10,comp1
2015-06-18 6:00,10,comp2
2015-01-20 6:00,11,comp2
2015-02-19 6:00,11,comp3
2015-04-20 6:00,11,comp2
2015-10-02 6:00,11,comp3
2015-12-16 6:00,11,comp3
2015-01-07 6:00,12,comp1
2015-03-23 6:00,12,comp2
2015-07-06 6:00,12,comp1
2015-09-04 6:00,12,comp1
2015-10-04 6:00,12,comp2
2015-04-11 6:00,13,comp3
2015-06-10 6:00,13,comp3
2015-06-25 6:00,13,comp4
2015-07-10 6:00,13,comp2
2015-08-09 6:00,13,comp2
2015-08-24 6:00,13,comp1
2015-09-23 6:00,13,comp4
2015-10-23 6:00,13,comp1
2015-12-07 6:00,13,comp4
2015-12-22 6:00,13,comp1
2015-01-31 6:00,14,comp2
2015-03-02 6:00,14,comp1
2015-07-15 6:00,14,comp1
2015-07-30 6:00,14,comp2
2015-01-20 6:00,15,comp2
2015-06-04 6:00,15,comp1
2015-08-03 6:00,15,comp1
2015-11-01 6:00,15,comp2
2015-12-31 6:00,15,comp4
2015-01-02 3:00,16,comp1
2015-01-17 6:00,16,comp1
2015-03-03 6:00,16,comp3
2015-04-02 6:00,16,comp1
2015-05-17 6:00,16,comp3
2015-06-01 6:00,16,comp2
2015-06-16 6:00,16,comp1
2015-07-01 6:00,16,comp2
2015-08-15 6:00,16,comp3
2015-10-14 6:00,16,comp3
2015-11-28 6:00,16,comp2
2015-01-02 3:00,17,comp4
2015-01-16 6:00,17,comp3
2015-02-15 6:00,17,comp2
2015-03-17 6:00,17,comp3
2015-04-01 6:00,17,comp2
2015-05-16 6:00,17,comp1
2015-06-15 6:00,17,comp3
2015-07-15 6:00,17,comp2
2015-07-30 6:00,17,comp1
2015-08-29 6:00,17,comp4
2015-10-28 6:00,17,comp3
2015-11-27 6:00,17,comp2
2015-12-27 6:00,17,comp1
2015-01-30 6:00,18,comp4
2015-03-31 6:00,18,comp1
2015-05-15 6:00,18,comp4
2015-06-29 6:00,18,comp2
2015-07-29 6:00,18,comp2
2015-08-28 6:00,18,comp4
2015-09-12 6:00,18,comp2
2015-10-27 6:00,18,comp4
2015-01-13 6:00,19,comp1
2015-02-27 6:00,19,comp4
2015-04-13 6:00,19,comp4
2015-06-27 6:00,19,comp4
2015-09-10 6:00,19,comp4
2015-11-24 6:00,19,comp4
2015-12-09 6:00,19,comp1
2015-01-04 6:00,20,comp2
2015-01-19 6:00,20,comp4
2015-02-03 6:00,20,comp3
2015-03-20 6:00,20,comp2
2015-04-04 6:00,20,comp3
2015-04-19 6:00,20,comp4
2015-07-18 6:00,20,comp1
2015-08-17 6:00,20,comp4
2015-10-01 6:00,20,comp2
2015-10-31 6:00,20,comp3
2015-11-15 6:00,20,comp2
2015-12-15 6:00,20,comp1
2015-12-30 6:00,20,comp4
2015-01-23 6:00,21,comp3
2015-04-08 6:00,21,comp4
